J2	(st.)Judge; Julius; Justice
J.A.	(st.)Joint Agent; Judge Advocate
Ja	(st.)James; January
jab	1stinga, prika (t.d.jab a needle into one’s hand; he jabbed his elbow into my side)2skúgva3nstingur, prik, skúgv; (t.d.he gave me a jab in the small of the back)4Skopping,koppseting(t.d.new flu jabs);innspræning5(í nevaleiki) høgg beint frammaná
jabber1	tvætl, suss, pjátr, bullan
jabber2	1tvætla, sussa, pjátra, bulla2ramsa upp
jabiru	(dý.)jøvurstorkur(Jabiru mycteria)
JAC	(st.) (tlm.)just around the corner
jacana	(dý.)blaðhønuættin(Jacanae)
jacaranda	(plfr.)palisandertræ(Jacaranda)
jacinth	(steinfr.)hyacinth
jack1	jack itinS gevast;jackoffSstinga av, rýma; fleyga sær, kirna;jackuplyfta við donkraft (t.d.a car); (tlm.)hækka (t.d.prices);bøta um;Sgevast, blaka frá sær;jack him up (tlm.)geva honum eina skortfleingju
jack2	(dý.)hann-, kall- (t.d.monkey)
Jack3	kelinavn fyri John;I’m all right, Jackvit hava tað gott; vit eru væl bjargað
jackal	1(dý.)sjakalur(Canis aureus)2(um persón) hjálparfólk,(niðr.)amboð
jackanapes	1nasvísur hólkur, kjaftbreiður hólkur; ovrásin og skammleysur maður2fínibeiggi, mótaprinsur
jackaroo	(avstr.) (tlm.)ein ið lærir á bóndagarði ið hevur seyðel.neyt
jackass	1asni (kalldýrið)2(fl.m.)lók, neyt, býttlingur; (síeis.laughingjackass)
jackboot	knæstivli, reiðstivli; hermannastivli, riddarastivli; løgreglustivli; (hjá sjómonnum) stivli, klovstivli
jackbox	stikkdós
jackdaw	(dý.)rókur(Corvus monedula)
jacket1	1jakki, troyggja2(á bók) kápa3(tøkn.)kápa4(á boripallum) undirstøði (úr stálrørum)5eplaflus,potatoes in their jacketsóflust epli;potatoes boiled (, baked) in their jackets… við flusi
jacket2	1lata í jakkael.troyggju; leggja kápu um2(tlm.)buka, banka
jacketing	(tlm.)fleingja, avsmyrjing
Jack Frost	frost (persónímyndað)
jack-in-office	braneggjaður embætismaður, krakkaveldismaður, býrokratur
jack-in-the-box	kassatrøll, trøll í dós
jack-in-the-green	(vera, ið dansað verður um í maiveitslum)
Jack	1sagulað2trækíli3(á klaveri) hamari4(í kortspæli) jassur, drongur5(í køki) steikivendari, vendiblað6(tøkn.)naddamáttur, donkraft7(tlf.)proppur, hólkur8(sigl.)stavnaflagg sum vísir heimahavn skipsins9pallur undir rá á mastur10(Jack -tar)vanligur sjómaður, sjógarpur11Speningur12kókispritt13(tlm.)(í tiltalu) gamli, hin rádni, vinur, frændi14(lum dýr) kall- (t.d.Jack monkey)15jacks flteitt spæl16[íyms.samb.]every man Jackhvør tann einasti, ein og hvør, allir;I’m all right, Jackeg líði onga neyð;before you could say Jack Robinsonáðrenn nakran vardi; áðrenn tú visti av;there are more jacks than one at the fairmong er geitin aðrari lík;jack of all tradesallahandamaður
Jack Ketch	bøðilin
jackknife	1(stórur) felliknívur; húklop2(um viðfestivogn) tað at skeiklast í mun til traktorin
jack-of-all-trades	allahandamaður, ein ið dugir alt til hendurnar
jack-o’-lantern	1vættraljós2lyktarmaður (holað grasker nýtt at hava ljós í allahalganaaftan)
jack pine	(plfr.)bankafura(Pinus banksiana)
jack plane	skrubbhøvul, grovhøvul
jackpot	pulja (í poker); (í happadrátti) tann stóri vinningurin;hit the jackpot (eis. fl.m.)fáa stóran vinning
jackpot rabbit	(am.)stórvaksin harusløg (av slagnumLepus)
Jack Robinson	before you could say Jack Robinsonáðrenn tú fekst talt upp í trý;áðrenn nakran vardi; áðrenn tú visti av
jack screw	naddamáttur, donkraft
jack snipe	(dý.)lítil mýrisnípa(Lymnocryptes minimus)
jackstones	eitt spæl
jackstraw	strámaður;(fl.m.)null
jackstraws	pinnaleikur
jacksy	S rumpa
jack-tar	(tlm.)sjómaður, sjógarpur
jack towel	rullihandklæði
jack-up	vøkstur, øking
jack-up rig	boripallur, ið kann flytast (við beinum, ið kunnu takast upp og setast niður)
Jacob	S stigi
Jacobean	sum stavar frá stjórnartíð James I (1603-25)
Jacobin	jakobin(ar)i
Jacobite	jakobiti (viðhaldsfólk hjá James II og hansara ætt)
Jacob’s ladder	1jákupsstigi (1. Mós 28, 12)2(plfr.)fjallaflóki(Polemonium caeruleum)3(sigl.)jákupsstigi, leytari
jaconet	lætt og mjúkt indiskt bummullarevni
jacquerie	bóndauppreistur
Jacuzzi®	gosbað
jade1	gamalt, slitið ross;(niðrum konu) titta, mer, flogsa
jade2	játa, játusteinur, jada (slag av grønum gimsteini)
jaded	pøstur, lúgvaður (t.d.the horse is jaded),dovnaður;a jaded appetiteringur matarlystur
Jaeger	
jag1	1tindur, oddur, tonn2skarð; riva (í klæði)3Skenning (t.d.have a jag on; sleep off jags)4rukkutúrur5túrur, umfar, ríð, herðindi (t.d.a crying jag)6rúsevnisskamtur; innspræning, „skot“7sskarða
Jag2	
JAG (D)	(st.)Judge Advocate General(Deputy) (am.)
jagged	1tindutur, taggutur, tentur, skørðutur2illa skorin, illa rivin, ójavnur3fullur, við kenning; “skeivur”
jagger	kakuspori
jagging iron,jagging wheel	kakuspori
jaggy	sagtentur, (sag)taggutur
jaguar	(dý.)jaguarur(Panthera onca)
jail-bait	Sómyndig genta
jail,jailbird,jailer	sígaolo.s.fr.
jake1	1(am., tlm.) bóndaflókur, dólgur, tjórneyt, bygdarfrell; nalvungi2(am.) pengar
jake2	1(am.) fínur, frálíkur, fyrstafloks2(am.) bygdasligur, ómentaður, óskúlaður; klombrutur, grovligur
jakes	Sves, bukka
jalap	(plfr.)jalaprót(Ipomoea purga)
jalop(p)y	(tlm.)gamalt lasafar, bilvrak
jalopy	(tlm.) lasafar, eitt vrak av einum bili, gamal, vanrøktur bilur
jalousie	persjenna
jam1	1súlta, súltutoy, meyk2(fl.m.)fragd; gloypubiti (t.d.jam for the Press)3[íosb]some people get all the jamsummi hava eydnuna við sær;money for jam Slættliga vunnin peningur;he really wants jam on it (fl.m.) (tlm.)hann vil hava bæði í posa og sekk;life is not all jamlívið er ikki tað bera spæl;money for jamlættliga vunnin peningur;it’s the commissions I depend upon to put a bit of jam upon my bread… fyri at fáa kjøt upp á breyðið;jam tomorrow (uml.)gylt lyfti
jam2	trongd, trokan, tysing, tipping; ferðsluproppur;get into a jam Shava trupulleikar, vera gyrdur í brøkur
jam3	1kroysta, kleima (t.d.he jammed his finger in the door);trýsta (t.d.one’s clothes into a suitcase)2tippa (t.d.the river was jammed with log); be jammedvera fastur (t.d.the ship was jammed in the ice); Svera gyrdur í brøkur;get(el.become) jammedseta seg fastan;Sgyrdur í brøkur; fara í baklás (t.d.the lock has jammed)3(óáv.)taka, vera trongur, vera trekur, læsa; læsast4(útv.)órógva (sending) við óljóðssendara5S(í jass) improvisera6jam the brakes onbremsa harðliga, høgga bremsurnar í
JAMA	(st.)Journal of the American Medical Association
Jamaica	1(landafr.) Jamaika2jamaikaromm
Jamaican1	jamaikabúgvi
Jamaican2	jamaikiskur, í/úrel.á/av Jamaika
jamb	durastavur; (í vindeyga) síðukarmur
jamboree	1(tlm.)gildi, veitsla (t.d.the film industry's annual jamboree in Cannes)2skótastevna
jamb stove	bileggarovnur, bíleggjaraovnur
James	(bíbilskt) Jákup;(sø.)James, Jákup;scallop of St Jamesjákupsskel
jam-full	á tremur
jammer,jamming station	óljóðssendari
jammy	1Sleskiligur, eiggiligur; framúr góður (t.d.he has a jammy job)2einki fyri3beistaheppin4kleimin (t.d.fingers)
jam pot	súltutoyskrukka
jam roll	rullukaka; kjøtrullael.deiggjrulla við fyllu
jam session	samkoma við jass-tónleikarum har spælt og improviserað verður til tess at hugna sær; jam-session
Jan.	(st.)January
jane1	S konufólk; genta; konufólka-ves
Jane2	
Janeiro	
Janet	
jangle	1sskeldast; skurra, skorra, ringla, glinta; kima (t.d.phones jangled in the offices)2s (áv.)skrambla (, skurraosfr.)við;it jangles my nervestað fer heilt inn á bein3nkegl, kjaftaslit, klandur, træta; skurran, ringlan, glintan
