Q1	(bókstavurin) q
Q2	(st.)1Queen2question
QA	(st.)quality assurance
Q&A	(st.)Questions andAnswersSpurningar ogSvar
Qatar	(landafr.) Katar (land í Miðeystri við Persaflógva)
Qatari1	katarbúgvi
Qatari2	katarskur
QB	(st.)Queen’s Bench
QC	(st.)1Queen’s Counsel2Queen’s College3quality control
q. e.	(st.)quod est(lat.)tað er, sum merkir
QED	(st.) quod erat demonstrandumsum skuldi prógvast
QM	(st.)Quartermaster
qr.	(st.)quarter(s)
QS	(st.)Quarter Sessions
qt.	(st.)1quantity2quart
qt	(st.) on the qtí loyndum, í smog, so eingin sær
Q-Tip ®	(am.)vattpinnur
qua	(la.)sum (í eginleika av)
quack1	1viðfáningslækni,(tlm.)kvakksalvari2gvaggan, kvaggan, sutlan
quack2	gvagga, kvagga, sutla
quack3	kvakksalvara-
quack doctor	viðfáningslækni,(tlm.)kvakksalvari, leiklækni
quackery	kvakksalvaraskapur
quack-quack	(barnam.)dunnubilla
quad1	(prent.)ferhyrnt regluífylla
quad2	1quadrangle2quadraphonic3quadruplet
quadragenarian	fjøruti ára gamalt fólk, fólk í fjørutiárunum
Quadragesima	fyrsti sunnudagur í føstu
quadrangle	1fýrakantur, ferhyrningur, fjórhyrningur(serst.rætthyrningur), puntur2fýrakantað tún, fýrakantaður garður við lonum uttanum(serst.ísamb.viðuniversity colleges)
quadrangular	fýrakantaður, ferhyrntur, fjórhyrntur
quadrant	1fjórðingur av kringi; fjórðingsbogi, fjórðingsgeiri (sum er 90°)2fjórðingur (fjórðingsflati í krossskipan)
quadraphonic	ferljóðs-, kvadrofoniskur (ísamb.við upptøkuel.hátalara, sum hevur fýra ræsur)
quadraphony	ferljóð, kvadrofoni
quadrat	síquad2
quadrate1	fýrakantur, ferhyrningur, ferningur, fjórhyrningur, rætthyrningur, puntur
quadrate2	puntskapa;quadrate the circleloysa kringsins kvadratur;quadrate with(fáa) at samsvara við
quadrate3	ferhyrnings-, fernings-, puntskapaður, ferhyrntur, fýrakantaður
quadratic	puntskapaður, ferhyrntur, fýrakantaður;quadratic equationlíkning á øðrum stigi,(tlm.)annangradslíkning
quadrature	kvadraturur;(stjfr.)tvørstøða;the quadrature of the circlekvadraturur kringsins
quadrennial1	hending/hátíðarhald sum fer fram hvørt fjórða ár
quadrennial2	fýraára- (t.d.period) ; sum hendir fjórða hvørt ár, sum fer fram fjórða hvørt ár
quadrennium	fýraáraskeið
quadri-	fýra- (t.d.quadrilingualsum dugir fýra mál)
quadrifid	(plfr.) fýrsmæra
quadrilateral1	fýrakantur, ferhyrningur, fjórhyrningur
quadrilateral2	fýrakantaður, ferhyrntur, fýrstrentur, fjórhyrntur, hornrættur, rætthyrntur
quadrilingual	sum talar/dugir fýra mál
quadrille	(dansur) kvadrilla
quadrillion	billiard (= 1015);(am.)túsund billiónir
quadripartite	ferliða-, ferliðaður; sum er í fýra lutumel.eindum; sum fevnir um fýra partar
quadriplegic1	fólk sum er lamið í útlimunum (í ørmum og beinum)
quadriplegic2	lamin í útlimunum (ørmum og beinum)
quadrivalent	(evnafr.)fergildur, tetravalentur (sum hevur fýra gildi)
quadro-	síquadra-
quadroon	fjórðingsnekari
quadrumane	fýrahent dýr, fjórhent dýr
quadrumanous	(dý.) fýrahentur, fjórhentur
quadruped1	ferføtt dýr, ferføtla
quadruped2	ferføttur, fjórføttur
quadruple1	1ferfalda, fjórfalda, fýrafalda2(við ongum ávirki) ferfaldast, fjórfaldast, fyrafaldast
quadruple2	1ferfaldur, fjórfaldur, fýrfaldur; ferliðaður, ferliða-2fýravelda- (t.d.quadruple alliance); the quadruplefýra ferðir størri
quadruplet	fjórburi
quadruplex	ferfaldur, fjórfaldur
quadruplicate1	in quadruplicate í fýra eintøkum
quadruplicate2	ferfalda
quaff1	1drykkur (t.d.porter is a dark, malty quaff)2kulkur
quaff2	(skaldsk.drekka (úr), tøma, kulka í seg (t.d.he quaffed pint after pint of good Berkshire ale)
quaffable	drekkandi, sum kann drekkast
quag	síquagmire
quaggy	mýrikendur, bleytur
quagmire	kyksendi, flotkelda, mýri, mýra, fen, feni
quail1	(dý.)lynghøna, vaktil, pippus(C. coturnix)
quail2	vera fyri ongum, vera mótlítil, falla í fátt; hopa forfardur aftur eftir hæli(atundan einum)
quaint	1kynstriga gjørdur (t.d.quaint contrivance)2løgin, margháttligur (t.d.idea)3gamal og hugnaligur (t.d.a quaint old village)
quake1	(tlm.)jarðskjálvti
quake2	skelva, nøtra, piprast(withav), biva;quake in one’s boots/shoesskelva av ræðslu, rista í brókunum, vera bebbaræddur
Quaker	kvekari (fólk ið er limur í ensk-amerikanskari puritanskari trúarrørslu)
Quakerism	kvekaralæra
quaking grass	(plfr.) hjartagras (Briza)
qualification	1útbúgving, skúling (t.d.has he any academic -s?)2fingið prógv, staðið prógv3førleiki, dugnaskapur, dugileiki4treyt, fortreyt (t.d.the only qualification required is a sense of humour)5(í framsøgn) avmarking, skerjing; fyrivarni;without qualificationvið ongari avmarking, við ongum fyrivarni, treytaleysur;our audit has not given reason for qualification of opinion (handilsm.)grannskoðanin hevur ikki givið orsøk til fyrivarni
qualification requirements	førleikakrøv(flt)
qualified	1førur fyri, skikkaður til, dugnaligur (sum dugir væl),(fortil)2skúlaður, útbúgvin (t.d.qualified teacher, qualified nurse)3sum hevur rætt(fortil)4(um framsøgn) avmarkaður, treytaður (t.d.qualified acceptance),við fyrivarni
qualifier	1(málfr.)undirliður (setningslutur, ið lýsir annan setningslutel.orð, ið lýsa onnur orð gjøllari,t.d.lýsa lýsingarorð navnorð og hjáorð sagnorð)2(ítr.)úrtøkudystur3(løgfr.)styrkimarking
qualify	1(til almannaveiting) hava rætt til(oft.d.unemployment benefit; maternal leave)2gera seg føran fyri, geva førleika, gera lesnaðin lidnan(assum, t.d.a doctor, a teacher; she qualified in 2004);útbúgvael.skúla seg(fortil, t.d.he had qualified for the post),gera seg skikkaðan(fortil)3(ítr.)vinna úrtøkukapping(fortil)4(heimsp.)skilgreina (t.d.qualify as good or bad)5(málfr. eis.)lýsa (t.d.adjectives qualify nouns)6(fl.m.)orða hóvligari (t.d.qualify a statement),doyva, slaka, veikja, milda (t.d.qualify criticism)7[íyms. samb.]qualifyas 1síomf.: 22kallast, rópast, sigast at vera (t.d.that does not qualify as an answer);vera (t.d.an expert);kunna verða góðkendur sum (t.d.a political refugee); that does not qualify him as an experthatta ger hann ikki til ein serfrøðing;qualifyfor 1sí 2,eis.)hava rætt til2(revsing) fáa (hann fekk 10 ár); hava uppiborið (t.d.a stiff reprimand); qualify sby for1(til almannaveiting) geva rætt til (t.d.extra benefits)2(útbúgvingaro.tíl.)geva einum atgongd til, sleppa til (t.d.a course)3(starv, arbeiði) geva førleika til, vera skikkaður til (t.d.a job); qualify sby to1gera ein føran fyri, gera ein skikkaðan til (t.d.teach English)2geva einum myndugleika til, geva einum heimild til (t.d.that does not qualify her to give advice to others)
qualifying match	(ítr.) úrtøkudystur
qualifying tournament	(ítr.)undankapping
qualitative	sum er eyðkent fyri okkurt, ser-, eginleika-; góðsku-, dygdar-
quality1	1góðska, dygd, virði, tæri2eginleiki, serkenni, natúr, mura, lyndi; tæri, tilfarið í einum (t.d.the cheese has a rubbery quality); he has got the right stuff in himgott tæri er í honum3(handilsm.)góðska, dygd; slag4[íyms. samb.]qualities1eginleikar (t.d.his personal qualities; the plant’s antiseptic qualities);(um fólkeis.)tað góða við einum/einari2=qualitity papersdygdarbløð;of qualitydygdar-;people of quality (gl.)tignarfólk, tað frægarael.betra fólkið;quality of lifelívsvirði;give a taste of one’s qualityvísa, hvat dugur er í einum
quality2	dygdar- (t.d.product)
quality assurance	góðskutrygd
quality audit	góðskuskoðan
quality auditor	góðskuskoðari, góðskumetari
quality consciousness	góðskutilvitan, góðskutilvit
quality control system	góðskustýringarkervi
quality evaluation	góðskumeting
quality improvement	(handilsm.) góðskubetring
quality management	góðskustýring
quality management system	góðskustýringarskipan
quality papers	dygdarbløð
quality plan	góðskuætlan
