áarbugur	(landafr.)bugur í á har ið hon kemur oman á slætt, rennur møk og otar seg til liðirnar[da.meander]
áarlega	(landafr.)lægd sum á rennur í(serst. upptornað á)[da.flodleje,en.river bed]
áarlop	(landafr.)tað at ein á loypur(t.d. í toybili og rívur grót, eyr og mold við sær),stórur skaði av skriðu og áarlopi[da.vandflom]
áarósi	(landafr.)ósi;(stn.)Áarósibýur í Jútlandi(Aarhus)
áarurð	(landafr.)urð ið legst har ið á úr brattlendi munnar út í láglendi[da.alluvialkegle]
áfesti	(alisfr.)tað at e-t festist á, loðarel.tekur við[da.adhæsion, vedhængning]
áfestingarkraft	(alisfr.) [da.adhæsionskraft]
áfløði	(jarðfr.)tað at sjógvurin skjýtur seg inn yvir land(tí at landið søkkurel.sjógvurin rúmøkist)[da.transgression]
áfok	(jarðfr.)vindborið tilfar ið legst á lendi[da.vindaflejring]
áfylling	(tøkni)tað at fylla á(P|t.d.| bensin á akfar)[da.påfyldning,en.priming]
áfyllingarávísi	(tøkni)ávísi ið sýnir hvussu nógv (brennievni) er fylt á motor[da.påfyldningsindikator,en.filling indicator]
áfyllingarkrani	(tøkni,oljuv.)krani til áfylling á oljugoymslutanga[da.påfyldningshane,en.inlet) [eyka áfyllingarkrani[da.sekundær påfyldningshane,en.secondary inlet]
áfyllingarleidningur	(tøkni)leidningur til at fylla á við[da.påfyldningsledning,en.filling line]
áfyllingarpumpa	(tøkni)pumpa nýtt til at fylla P|t.d.| brennievni á við[da.påfyldningspumpe,en.filling pump]
áfyllingarventilur	(tøkni,oljuv.)ventilur til áfylling á oljutanga[da.påfyldningsventil,en.fill valve]
ágáva	samsýning fyri veittan beina[da.sportel, gebyr,en.fee]
ágerð	(alisfr.)kraft ið virkar á e-t,ágerð og andgerð[da.aktion,en.action]
álinjusamband	(teld.)samband á linju (3),bankin hevur álinjusamband(við teldumiðstøð)[en.online]
álinjuskipan	(teld.)fastalinjuskipan[da.onlinesystem]
álinjuviðgerð	(teld.)dátuviðgerð í tólum sum eru beinleiðis undir miðstaddari móðurteldu[da.onlinebehandling,en.online processing]
álitssemi	tað at lítast kann á e-t[da.pålidelighed,en.dependability]
áløga	(jarðfr.)tilfar ið legst á botn(og verður til legugrýti)[da.sediment,en.sediment]
áløguberg	(jarðfr.)grótslag myndað í jarðaryvirflatanum við upphópan av pørtum frá niðurbróting av øðrum grótsløgum soleiðis at tað gerst sjálvstøðugt grótslag(P|t.d.| skifur og sandgrýti)[da.sedimentbjergarter]
áløgudust	(jarðfr.)legugrýtisdust[da.sedimentationsstøv]
áløgugerð	(jarðfr.)legugrýtisgerð[da.sedimentation]
áløguglopp	(jarðfr.) [da.hiatus]
ánæmi	(handv.)e-t sum møtir, forðarel.stendur ímóti(listi, kantur o.tíl., t.d. listi á durastavi til hurð at ganga ímóti),hann meitlaði sær eitt ánæmi í ta skráu helluna, at steinarnir skuldu ikki rulla á sjógv
ás	1(støddfr.)uppás og útás(í krossskipan)[da.axis]2(jarðfr.)langur sand- og eyrryggur av tilfari jøkuláin førdi við sær undir ísinum og legði frá sær aftur nærindis ísjaðaranum[da.ås]
ásannan	tað at staðfesta at e-t er rætt[da.verifikation,en.verification]
ásetingarflati	(tøkni)stuðulsflati[da.understøtningsflade]
ásgongd	(tøkni) [da.akselledning]
ásjavnvág	(tøkni)javnvág í ási[da.aksialbalance,en.thrust balance]
áskompressari	(tøkni) [da.aksialkompressor,en.axial compressor]
áskopling	(tøkni)kopling til ás[da.akselkobling,en.shaft coupling]
áslag	(handv.)styrking, verja, (jarn)spong(t.d. á vindeyga, kistu o.tíl.)[da.beslag,en.furniture]
ásláing	(tøkni)tað at styrkja við áslag[da.beslåning]
áslega	(tøkni)lega sum ás liggur í og sum heldur henni uppi[da.akselleje,en.shaft bearing]
ásristing	(tøkni)risting í ási[da.aksialvibration,en.axial vibration]
ásrørsla	(tøkni)rørsla í ási[da.aksialbevægelse,en.axial movement]
ásskúgving	(tøkni) [da.aksialforskydning,en.axial displacement]
ástig	(tøkni)pedalur, føtil[da.pedal,en.pedal]
ástrýst	(tøkni)(á akfari)tann partur av heildarvektini sum fellur á hvønn ás[da.aksialtryk,en.axial thrust]
ástøppur	(tøkni) [da.akseltap,en.stub shaft]
ásur	1(húsasm.)bjálki, mønutræ[da.ås]2(tøkni)stong sum hjól melur um, nokki, aksil[da.aksel,en.axle]
ásvifta	(tøkni)vifta á ási[da.aksialvifte,en.axial flow fan]
áttund	(teld.,sj.)být[da.byte,en.byte]
ávaringareind	(tøkni)eind í ávaringartóli[da.alarmenhed,en.unit alarm, UA]
ávaringarlampa	(tøkni)lampa ið ávarar um e-t brek tekur seg upp[da.alarmlampe,en.alarm lamp, warning lamp]
ávaringarljóð	(tøkni)ljóð ið ávarar um e-t brek[da.alarmlydsignal,en.alarm sounder]
ávaringarlúður	(tøkni)lúður ið gevur ávaringarljóð[da.alarmhorn,en.alarm horn]
ávaringarreiðlag	(tøkni)reiðlag ið boðar frá einhvørjum breki[da.alarmrelæ,en.alarm relay]
ávaringarseinking	(tøkni)seinking í ávaringarfráboðan[da.alarmforsinkelse,en.alarm delay]
ávaringarstig	stig fyri nær ið ávaring verður givin[da.alarmniveau,en.alarm level]
ávaringarstøða	(tøkni)støða tá ið ávarað verður um einhvønn vanda[da.alarmtilstand,en.alarm condition]
ávaringartalva	(tøkni)talva við yvirliti yvir ávaringar (av ymsum slag)[da.alarmtavle,en.alarm display]
ávaringartekstur	(tøkni)tekstur ið ávarar ímóti e-m[da.alarmtekst,en.alarm text]
ávaringarútgerð	(tøkni)útgerð til ávaringarskipan[da.alarmudstyr,en.alarm equipment]
ávísi	(tøkni)tól sum grafiskt vísir trýstbroytingar í einum gassi(serst. í guvu- P|el.| gassmotori)[da.indikator,en.indicator]
ávísingarstig	) [da.demonstrationsomfang,en.degree of demonstration]
